news_analysis_id,title,summary,market,sector,impact_score,sentiment,link,urlToImage,content,author,published_at,source_system,summary_short,business_bites_news_id,alternative_sources,thumbnail_url,rank,slno
1194,Live updates: Trump heads to Israel amid preparations for hostage's return,"Trump Heads to Israel and Then Egypt as Hostage-Prisoner Swap Nears  The New York TimesWhen Biden visited Israel, wounds were fresh and tension was mounting. Two years later, Trump arrives with prospect of peace  CNNTrump says Hamas may release 20 hostages ‘a little bit early’ as he heads to Middle East  Fox NewsPresident Travels to Israel for Hostage Release  The New York TimesHere's the biggest news you miss",US,Financial Services,6,neutral,https://www.nbcnews.com/world/middle-east/live-blog/israel-hamas-live-updates-families-hostages-await-release-trump-travel-rcna237100,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-10/251012-gazas-buildings-ruin-ps-0338-9e9822.jpg","Trump Heads to Israel and Then Egypt as Hostage-Prisoner Swap Nears  The New York TimesWhen Biden visited Israel, wounds were fresh and tension was mounting. Two years later, Trump arrives with prospect of peace  CNNTrump says Hamas may release 20 hostages ‘a little bit early’ as he heads to Middle East  Fox NewsPresident Travels to Israel for Hostage Release  The New York TimesHere's the biggest news you miss",,2025-10-12 23:00:24+00:00,nbcnews.com,,585,,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-10/251012-gazas-buildings-ruin-ps-0338-9e9822.jpg",1,1
1200,U.S. stock futures rebound as Trump dismisses latest China tariff tensions: ‘It will all be fine’,"Stock futures rebound from Friday’s rout after Trump says China situation ‘will all be fine’: Live updates  CNBCStock futures rise after Trump hints at backing off from new China tariffs  CNNTrump’s 100% tariff threat sparks defiance from Beijing  PoliticoMarket sell-off: Trump post lops off $2 trillion from stocks in a single day  CNBCTrump, Vance Open Door to China Deal as Trade Spa",US,Financial Services,8.4,neutral,https://www.msn.com/en-us/money/markets/us-stock-futures-rebound-as-trump-dismisses-latest-china-tariff-tensions-it-will-all-be-fine/ar-AA1OkMec,,"Stock futures rebound from Friday’s rout after Trump says China situation ‘will all be fine’: Live updates  CNBCStock futures rise after Trump hints at backing off from new China tariffs  CNNTrump’s 100% tariff threat sparks defiance from Beijing  PoliticoMarket sell-off: Trump post lops off $2 trillion from stocks in a single day  CNBCTrump, Vance Open Door to China Deal as Trade Spa",,2025-10-12 22:36:00+00:00,msn.com,,587,,,1,2
1179,"How Trump’s Chicago Immigration Crackdown Escalated, in 10 Videos - The New York Times","How Trump’s Chicago Immigration Crackdown Escalated, in 10 Videos  The New York Times‘It’s Never Been This Bad’  The AtlanticThe Emergency Is the Atmosphere  Organizing My ThoughtsBlack People Knew This Would Happen  The Intercept'It was like a movie' - How immigration raid on Chicago",US,Technology,7.5,neutral,https://www.nytimes.com/2025/10/12/us/chicago-immigration-crackdown-videos.html,,"How Trump’s Chicago Immigration Crackdown Escalated, in 10 Videos  The New York Times‘It’s Never Been This Bad’  The AtlanticThe Emergency Is the Atmosphere  Organizing My ThoughtsBlack People Knew This Would Happen  The Intercept'It was like a movie' - How immigration raid on Chicago",,2025-10-12 00:00:00+00:00,nytimes.com,,594,,,1,3
1188,Florida sets execution date for man who raped and murdered 6-year-old girl in 1979,Bus,US,Financial Services,6,neutral,https://apnews.com/article/florida-execution-bryan-fredrick-jennings-758d045e61434c369502fa79e490c0a5,,,,2025-10-12 20:02:52+00:00,apnews.com,,597,,,1,4
1206,16 dead after blast destroys explosives factory,"A factory that makes munitions for the military exploded, killing 16 people and leaving no survivors  Fortune'In an instant, they were gone' - small town mourns after Tennessee explosives factory blast  BBCATF deploys elite team after deadly Tennessee explosion; search on for 18 missing  Fox News16 People Killed in Blast at Tennessee Explosives Plant, Officials Confirm  The New York TimesNo survivors in Tennessee explosives factory blast, of",US,Industrials,6,neutral,https://www.yahoo.com/news/articles/multiple-killed-blast-military-explosives-174917267.html,,"A factory that makes munitions for the military exploded, killing 16 people and leaving no survivors  Fortune'In an instant, they were gone' - small town mourns after Tennessee explosives factory blast  BBCATF deploys elite team after deadly Tennessee explosion; search on for 18 missing  Fox News16 People Killed in Blast at Tennessee Explosives Plant, Officials Confirm  The New York TimesNo survivors in Tennessee explosives factory blast, of",,2025-10-12 19:56:00+00:00,yahoo.com,,589,,,1,5
1203,Vance says administration will keep fighting to send National Guard to Chicago,"Vance says administration will keep fighting to send National Guard to Chicago  NPRCircuit Court walks back judge’s block on Trump’s National Guard call-up in Chicago  PoliticoNational Guard troops in Illinois can remain federalized but can’t be deployed, appeals court rules  CNNHow do you feel about the arrival of National Guard troops in the Chicago area? Here's what you told us.  Chicago Sun-TimesGov. JB Pritzker points to Trump inconsistencies in deployment of National Guard to",US,Technology,6.8,neutral,https://www.npr.org/2025/10/12/nx-s1-5572463/vance-administration-keep-fighting-send-national-guard-chicago,,"Vance says administration will keep fighting to send National Guard to Chicago  NPRCircuit Court walks back judge’s block on Trump’s National Guard call-up in Chicago  PoliticoNational Guard troops in Illinois can remain federalized but can’t be deployed, appeals court rules  CNNHow do you feel about the arrival of National Guard troops in the Chicago area? Here's what you told us.  Chicago Sun-TimesGov. JB Pritzker points to Trump inconsistencies in deployment of National Guard to",,2025-10-12 00:00:00+00:00,npr.org,,588,,,1,6
1185,Woman breaks silence after viral post labels her Olive Garden waitress using breadsticks for revenge on diners | The Independent,Bus,US,Technology,6,neutral,https://www.independent.co.uk/news/world/americas/olive-garden-waitress-viral-fake-post-b2843989.html,"https://static.independent.co.uk/2025/10/12/15/38/Fake-Facebook-post-Olive-Garden-story.jpeg?trim=0,0,0,0&width=1200&height=800&crop=1200:800",,,2025-10-12 18:08:32+00:00,independent.co.uk,,596,,"https://static.independent.co.uk/2025/10/12/15/38/Fake-Facebook-post-Olive-Garden-story.jpeg?trim=0,0,0,0&width=1200&height=800&crop=1200:800",1,7
1191,I was laid off by Microsoft and can't find a job. I'm weeks away from giving up...,Bus,US,Technology,6,neutral,https://www.yahoo.com/news/articles/laid-off-microsoft-cant-job-090201097.html?fr=sycsrp_catchall,,,,2025-10-12 17:02:01+00:00,yahoo.com,,598,,,1,8
1197,A divide over the Israel-Hamas war flares at UC Berkeley Law,Israel Prepares to Receive Its Last Living Hostages Held by Hamas  The Wall Street JournalLive updates: Israelis await release of hostages ahead of major Gaza summit in Egypt  CNNIsrael expects hostages to be freed from Gaza ‘in a few hours’ as ceasefire holds  AP NewsIsraelis and Palestinians Await Hostage-Prisoner Swap With Relief and Elation  The New York TimesIsrael says won't release prisoners,US,Technology,6.3,neutral,https://news.yahoo.com/divide-over-israel-hamas-war-100051005.html?fr=sycsrp_catchall,,Israel Prepares to Receive Its Last Living Hostages Held by Hamas  The Wall Street JournalLive updates: Israelis await release of hostages ahead of major Gaza summit in Egypt  CNNIsrael expects hostages to be freed from Gaza ‘in a few hours’ as ceasefire holds  AP NewsIsraelis and Palestinians Await Hostage-Prisoner Swap With Relief and Elation  The New York TimesIsrael says won't release prisoners,,2025-10-12 16:54:00+00:00,news.yahoo.com,,586,,,1,9
1182,Estonia closes road through Russian territory due to presence of Russian troops - ABC News,Bus,US,Financial Services,6,neutral,https://abcnews.go.com/International/wireStory/estonia-closes-road-russian-territory-due-presence-russian-126444512,https://i.abcnewsfe.com/a/142062bb-1467-4a27-a853-c9f7aa67fd8b/wirestory_be4704718fb7f702948159333d0a0111_16x9.jpg?w=1600,,,2025-10-12 10:33:03+00:00,abcnews.go.com,,595,,https://i.abcnewsfe.com/a/142062bb-1467-4a27-a853-c9f7aa67fd8b/wirestory_be4704718fb7f702948159333d0a0111_16x9.jpg?w=1600,1,10
