item_name,item_type,market
Apple Inc.,company,US
Microsoft Corporation,company,US
Amazon.com Inc.,company,US
Alphabet Inc.,company,US
Meta Platforms Inc.,company,US
Tesla Inc.,company,US
NVIDIA Corporation,company,US
Berkshire Hathaway,company,US
Johnson & Johnson,company,US
JPMorgan Chase & Co.,company,US
Alibaba Group,company,China
Tencent Holdings,company,China
China Mobile,company,China
ICBC,company,China
China Construction Bank,company,China
Ping An Insurance,company,China
China Merchants Bank,company,China
Bank of China,company,China
Agricultural Bank of China,company,China
BYD Company,company,China
ASML Holding,company,EU
SAP SE,company,EU
Siemens AG,company,EU
TotalEnergies,company,EU
Sanofi,company,EU
Allianz,company,EU
L'Oréal,company,EU
Deutsche Telekom,company,EU
BNP Paribas,company,EU
AXA,company,EU
Reliance Industries,company,India
Tata Consultancy Services,company,India
HDFC Bank,company,India
ICICI Bank,company,India
Hindustan Unilever,company,India
ITC Limited,company,India
Infosys Limited,company,India
Kotak Mahindra Bank,company,India
Larsen & Toubro,company,India
Bajaj Finance,company,India
Bitcoin,company,Crypto
Ethereum,company,Crypto
Binance,company,Crypto
Coinbase,company,Crypto
Solana,company,Crypto
Cardano,company,Crypto
Polkadot,company,Crypto
Chainlink,company,Crypto
Avalanche,company,Crypto
Polygon,company,Crypto
Technology,sector,US
Healthcare,sector,US
Financial Services,sector,US
Consumer Discretionary,sector,US
Energy,sector,US
Technology,sector,China
Financial Services,sector,China
Consumer Discretionary,sector,China
Industrials,sector,China
Healthcare,sector,China
Automotive,sector,EU
Technology,sector,EU
Healthcare,sector,EU
Financial Services,sector,EU
Energy,sector,EU
Information Technology,sector,India
Financial Services,sector,India
Healthcare,sector,India
Consumer Goods,sector,India
Energy,sector,India
Cryptocurrency,sector,Crypto
Blockchain,sector,Crypto
DeFi,sector,Crypto
NFTs,sector,Crypto
Web3,sector,Crypto
Artificial Intelligence,topic,US
Electric Vehicles,topic,US
Cybersecurity,topic,US
Cloud Computing,topic,US
Fintech Innovation,topic,US
5G Technology,topic,China
Electric Vehicles,topic,China
Artificial Intelligence,topic,China
E-commerce,topic,China
Semiconductors,topic,China
Automotive,topic,EU
Renewable Energy,topic,EU
Healthcare,topic,EU
Artificial Intelligence,topic,EU
Sustainable Investing,topic,EU
Fintech Innovation,topic,India
Digital Payments,topic,India
Education Technology,topic,India
E-commerce,topic,India
Renewable Energy,topic,India
Cryptocurrency,topic,Crypto
Blockchain,topic,Crypto
DeFi,topic,Crypto
NFTs,topic,Crypto
Web3,topic,Crypto
